4697	P30837	AL1B1_HUMAN	reviewed	Aldehyde dehydrogenase X, mitochondrial (EC 1.2.1.3) (Aldehyde dehydrogenase 5) (Aldehyde dehydrogenase family 1 member B1)	ALDH1B1 ALDH5 ALDHX	Homo sapiens (Human)	517
4698	P30901	LDHD_LACHE	reviewed	D-lactate dehydrogenase (D-LDH) (EC 1.1.1.28) (D-specific 2-hydroxyacid dehydrogenase)		Lactobacillus helveticus (Lactobacillus suntoryeus)	337
4699	P30920	CDGT1_BACCI	reviewed	Cyclomaltodextrin glucanotransferase (EC 2.4.1.19) (Cyclodextrin-glycosyltransferase) (CGTase)		Bacillus circulans	718
4700	P30967	PH4H_CHRVO	reviewed	Phenylalanine-4-hydroxylase (PAH) (EC 1.14.16.1) (Phe-4-monooxygenase)	phhA CV_3180	Chromobacterium violaceum (strain ATCC 12472 / DSM 30191 / JCM 1249 / NBRC 12614 / NCIMB 9131 / NCTC 9757)	297
4701	P31012	TPL_CITIN	reviewed	Tyrosine phenol-lyase (EC 4.1.99.2) (Beta-tyrosinase)	tpl	Citrobacter intermedius (Escherichia intermedia)	456
4702	P31013	TPL_CITFR	reviewed	Tyrosine phenol-lyase (EC 4.1.99.2) (Beta-tyrosinase)	tpl	Citrobacter freundii	456
4703	P31040	SDHA_HUMAN	reviewed	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial (EC 1.3.5.1) (Flavoprotein subunit of complex II) (Fp)	SDHA SDH2 SDHF	Homo sapiens (Human)	664
4704	P31057	PANB_ECOLI	reviewed	3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11) (Ketopantoate hydroxymethyltransferase) (KPHMT)	panB b0134 JW0130	Escherichia coli (strain K12)	264
4705	P31101	HCP_DESVH	reviewed	Hydroxylamine reductase (EC 1.7.99.1) (Hybrid-cluster protein) (HCP) (Prismane protein)	hcp DVU_2013	Desulfovibrio vulgaris (strain Hildenborough / ATCC 29579 / NCIMB 8303)	553
4706	P31133	POTF_ECOLI	reviewed	Putrescine-binding periplasmic protein	potF b0854 JW0838	Escherichia coli (strain K12)	370
4707	P31142	THTM_ECOLI	reviewed	3-mercaptopyruvate sulfurtransferase (MST) (EC 2.8.1.2) (Rhodanese-like protein)	sseA b2521 JW2505	Escherichia coli (strain K12)	281
4708	P31150	GDIA_HUMAN	reviewed	Rab GDP dissociation inhibitor alpha (Rab GDI alpha) (Guanosine diphosphate dissociation inhibitor 1) (GDI-1) (Oligophrenin-2) (Protein XAP-4)	GDI1 GDIL OPHN2 RABGDIA XAP4	Homo sapiens (Human)	447
4709	P31151	S10A7_HUMAN	reviewed	Protein S100-A7 (Psoriasin) (S100 calcium-binding protein A7)	S100A7 PSOR1 S100A7C	Homo sapiens (Human)	101
4710	P31153	METK2_HUMAN	reviewed	S-adenosylmethionine synthase isoform type-2 (AdoMet synthase 2) (EC 2.5.1.6) (Methionine adenosyltransferase 2) (MAT 2) (Methionine adenosyltransferase II) (MAT-II)	MAT2A AMS2 MATA2	Homo sapiens (Human)	395
4711	P31224	ACRB_ECOLI	reviewed	Multidrug efflux pump subunit AcrB (AcrAB-TolC multidrug efflux pump subunit AcrB) (Acridine resistance protein B)	acrB acrE b0462 JW0451	Escherichia coli (strain K12)	1049
4712	P31243	PORI_RHOCA	reviewed	Porin		Rhodobacter capsulatus (Rhodopseudomonas capsulata)	301
4713	P31323	KAP3_HUMAN	reviewed	cAMP-dependent protein kinase type II-beta regulatory subunit	PRKAR2B	Homo sapiens (Human)	418
4714	P31327	CPSM_HUMAN	reviewed	Carbamoyl-phosphate synthase [ammonia], mitochondrial (EC 6.3.4.16) (Carbamoyl-phosphate synthetase I) (CPSase I)	CPS1	Homo sapiens (Human)	1500
4715	P31350	RIR2_HUMAN	reviewed	Ribonucleoside-diphosphate reductase subunit M2 (EC 1.17.4.1) (Ribonucleotide reductase small chain) (Ribonucleotide reductase small subunit)	RRM2 RR2	Homo sapiens (Human)	389
4716	P31434	XYLS_ECOLI	reviewed	Alpha-xylosidase (EC 3.2.1.177)	yicI b3656 JW3631	Escherichia coli (strain K12)	772
4717	P31572	CAIB_ECOLI	reviewed	L-carnitine CoA-transferase (EC 2.8.3.21) (Crotonobetainyl-CoA:carnitine CoA-transferase)	caiB yaaN b0038 JW0037	Escherichia coli (strain K12)	405
4718	P31677	OTSA_ECOLI	reviewed	Alpha,alpha-trehalose-phosphate synthase [UDP-forming] (EC 2.4.1.15) (Osmoregulatory trehalose synthesis protein A) (Trehalose-6-phosphate synthase) (UDP-glucose-glucosephosphate glucosyltransferase)	otsA b1896 JW5312	Escherichia coli (strain K12)	474
4719	P31723	MAN12_PENCI	reviewed	Mannosyl-oligosaccharide alpha-1,2-mannosidase (EC 3.2.1.113) (Man(9)-alpha-mannosidase)	MSDC	Penicillium citrinum	511
4720	P31930	QCR1_HUMAN	reviewed	Cytochrome b-c1 complex subunit 1, mitochondrial (Complex III subunit 1) (Core protein I) (Ubiquinol-cytochrome-c reductase complex core protein 1)	UQCRC1	Homo sapiens (Human)	480
4721	P31937	3HIDH_HUMAN	reviewed	3-hydroxyisobutyrate dehydrogenase, mitochondrial (HIBADH) (EC 1.1.1.31)	HIBADH	Homo sapiens (Human)	336
4722	P31949	S10AB_HUMAN	reviewed	Protein S100-A11 (Calgizzarin) (Metastatic lymph node gene 70 protein) (MLN 70) (Protein S100-C) (S100 calcium-binding protein A11) [Cleaved into: Protein S100-A11, N-terminally processed]	S100A11 MLN70 S100C	Homo sapiens (Human)	105
4723	P31992	PPTA_ECOLI	reviewed	Tautomerase PptA (EC 5.3.2.-)	pptA ydcE b1461 JW1456	Escherichia coli (strain K12)	77
4724	P32019	I5P2_HUMAN	reviewed	Type II inositol 1,4,5-trisphosphate 5-phosphatase (EC 3.1.3.36) (75 kDa inositol polyphosphate-5-phosphatase) (Phosphoinositide 5-phosphatase) (5PTase)	INPP5B OCRL2	Homo sapiens (Human)	993
4725	P32055	FCL_ECOLI	reviewed	GDP-L-fucose synthase (EC 1.1.1.271) (GDP-4-keto-6-deoxy-D-mannose-3,5-epimerase-4-reductase)	fcl wcaG yefB b2052 JW2037	Escherichia coli (strain K12)	321
4726	P32056	GMM_ECOLI	reviewed	GDP-mannose mannosyl hydrolase (GDPMH) (EC 3.6.1.-) (Colanic acid biosynthesis protein WcaH)	gmm nudD wcaH yefC b2051 JW5335	Escherichia coli (strain K12)	159
4727	P32119	PRDX2_HUMAN	reviewed	Peroxiredoxin-2 (EC 1.11.1.15) (Natural killer cell-enhancing factor B) (NKEF-B) (PRP) (Thiol-specific antioxidant protein) (TSA) (Thioredoxin peroxidase 1) (Thioredoxin-dependent peroxide reductase 1)	PRDX2 NKEFB TDPX1	Homo sapiens (Human)	198
4728	P32169	RHAD_ECOLI	reviewed	Rhamnulose-1-phosphate aldolase (EC 4.1.2.19)	rhaD rhuA b3902 JW3873	Escherichia coli (strain K12)	274
4729	P32170	RHAA_ECOLI	reviewed	L-rhamnose isomerase (EC 5.3.1.14)	rhaA b3903 JW5561	Escherichia coli (strain K12)	419
4730	P32173	MOBA_ECOLI	reviewed	Molybdenum cofactor guanylyltransferase (MoCo guanylyltransferase) (EC 2.7.7.77) (GTP:molybdopterin guanylyltransferase) (Mo-MPT guanylyltransferase) (Molybdopterin guanylyltransferase) (Molybdopterin-guanine dinucleotide biosynthesis protein A) (Molybdopterin-guanine dinucleotide synthase) (MGD synthase) (Protein FA)	mobA chlB mob narB b3857 JW3829	Escherichia coli (strain K12)	194
4731	P32322	P5CR1_HUMAN	reviewed	Pyrroline-5-carboxylate reductase 1, mitochondrial (P5C reductase 1) (P5CR 1) (EC 1.5.1.2)	PYCR1	Homo sapiens (Human)	319
4732	P32396	HEMH_BACSU	reviewed	Ferrochelatase (EC 4.99.1.1) (Heme synthase) (Protoheme ferro-lyase)	hemH hemF BSU10130	Bacillus subtilis (strain 168)	310
4733	P32397	PPOX_BACSU	reviewed	Protoporphyrinogen oxidase (PPO) (EC 1.3.3.4)	hemY hemG BSU10140	Bacillus subtilis (strain 168)	470
4734	P32418	NAC1_HUMAN	reviewed	Sodium/calcium exchanger 1 (Na(+)/Ca(2+)-exchange protein 1) (Solute carrier family 8 member 1)	SLC8A1 CNC NCX1	Homo sapiens (Human)	973
4735	P32427	PCAB_PSEPU	reviewed	3-carboxy-cis,cis-muconate cycloisomerase (EC 5.5.1.2) (3-carboxymuconate lactonizing enzyme) (CMLE) (Fragment)	pcaB	Pseudomonas putida (Arthrobacter siderocapsulatus)	422
4736	P32722	PORD_PSEAE	reviewed	Porin D (EC 3.4.21.-) (Imipenem/basic amino acid-specific outer membrane pore) (Outer membrane protein D2)	oprD PA0958	Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228)	443
4737	P32754	HPPD_HUMAN	reviewed	4-hydroxyphenylpyruvate dioxygenase (EC 1.13.11.27) (4-hydroxyphenylpyruvic acid oxidase) (4HPPD) (HPD) (HPPDase)	HPD PPD	Homo sapiens (Human)	393
4738	P32884	HN_NDVB	reviewed	Hemagglutinin-neuraminidase (EC 3.2.1.18)	HN	Newcastle disease virus (strain Beaudette C/45) (NDV)	577
4739	P32890	ELBP_ECOLX	reviewed	Heat-labile enterotoxin B chain (LT-B, porcine) (LTP-B)	eltB ltpB	Escherichia coli	124
4740	P32927	IL3RB_HUMAN	reviewed	Cytokine receptor common subunit beta (CDw131) (GM-CSF/IL-3/IL-5 receptor common beta subunit) (CD antigen CD131)	CSF2RB IL3RB IL5RB	Homo sapiens (Human)	897
4741	P32929	CGL_HUMAN	reviewed	Cystathionine gamma-lyase (EC 4.4.1.1) (Cysteine-protein sulfhydrase) (Gamma-cystathionase)	CTH	Homo sapiens (Human)	405
4742	P32947	LIP3_CANRU	reviewed	Lipase 3 (EC 3.1.1.3) (Cholesterol esterase)	LIP3	Candida rugosa (Yeast) (Candida cylindracea)	549
4743	P33038	MURA_ENTCC	reviewed	UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7) (Enoylpyruvate transferase) (UDP-N-acetylglucosamine enolpyruvyl transferase) (EPT)	murA murZ ECL_04571	Enterobacter cloacae subsp. cloacae (strain ATCC 13047 / DSM 30054 / NBRC 13535 / NCDC 279-56)	419
4744	P33121	ACSL1_HUMAN	reviewed	Long-chain-fatty-acid--CoA ligase 1 (EC 6.2.1.3) (Acyl-CoA synthetase 1) (ACS1) (Long-chain acyl-CoA synthetase 1) (LACS 1) (Long-chain acyl-CoA synthetase 2) (LACS 2) (Long-chain fatty acid-CoA ligase 2) (Palmitoyl-CoA ligase 1) (Palmitoyl-CoA ligase 2)	ACSL1 FACL1 FACL2 LACS LACS1 LACS2	Homo sapiens (Human)	698
4745	P33151	CADH5_HUMAN	reviewed	Cadherin-5 (7B4 antigen) (Vascular endothelial cadherin) (VE-cadherin) (CD antigen CD144)	CDH5	Homo sapiens (Human)	784
4746	P33221	PURT_ECOLI	reviewed	Phosphoribosylglycinamide formyltransferase 2 (GART 2) (EC 2.1.2.-) (5'-phosphoribosylglycinamide transformylase 2) (Formate-dependent GAR transformylase) (GAR transformylase 2)	purT b1849 JW1838	Escherichia coli (strain K12)	392
4747	P33260	CP2CI_HUMAN	reviewed	Cytochrome P450 2C18 (EC 1.14.14.1) (CYPIIC18) (Cytochrome P450-6b/29c)	CYP2C18	Homo sapiens (Human)	490
4748	P33447	ATTY_TRYCR	reviewed	Tyrosine aminotransferase (TAT) (EC 2.6.1.5) (L-tyrosine:2-oxoglutarate aminotransferase)		Trypanosoma cruzi	416
4749	P33517	COX1_RHOSH	reviewed	Cytochrome c oxidase subunit 1 (EC 1.9.3.1) (Cytochrome aa3 subunit 1) (Cytochrome c oxidase polypeptide I)	ctaD	Rhodobacter sphaeroides (Rhodopseudomonas sphaeroides)	566
4750	P33590	NIKA_ECOLI	reviewed	Nickel-binding periplasmic protein	nikA b3476 JW3441	Escherichia coli (strain K12)	524
4751	P33644	YFIH_ECOLI	reviewed	Laccase domain protein YfiH	yfiH b2593 JW2575	Escherichia coli (strain K12)	243
4752	P33673	CHIS_BACCI	reviewed	Chitosanase (EC 3.2.1.132)	csn	Bacillus circulans	301
4753	P34024	PLC_LISMO	reviewed	1-phosphatidylinositol phosphodiesterase (EC 4.6.1.13) (Phosphatidylinositol diacylglycerol-lyase) (Phosphatidylinositol-specific phospholipase C) (PI-PLC)	plcA pic lmo0201	Listeria monocytogenes serovar 1/2a (strain ATCC BAA-679 / EGD-e)	317
4754	P34096	RNAS4_HUMAN	reviewed	Ribonuclease 4 (RNase 4) (EC 3.1.27.-)	RNASE4 RNS4	Homo sapiens (Human)	147
4755	P34130	NTF4_HUMAN	reviewed	Neurotrophin-4 (NT-4) (Neurotrophin-5) (NT-5) (Neutrophic factor 4)	NTF4 NTF5	Homo sapiens (Human)	210
4756	P34896	GLYC_HUMAN	reviewed	Serine hydroxymethyltransferase, cytosolic (SHMT) (EC 2.1.2.1) (Glycine hydroxymethyltransferase) (Serine methylase)	SHMT1	Homo sapiens (Human)	483
4757	P34897	GLYM_HUMAN	reviewed	Serine hydroxymethyltransferase, mitochondrial (SHMT) (EC 2.1.2.1) (Glycine hydroxymethyltransferase) (Serine methylase)	SHMT2	Homo sapiens (Human)	504
4758	P35080	PROF2_HUMAN	reviewed	Profilin-2 (Profilin II)	PFN2	Homo sapiens (Human)	140
4759	P35089	LHA1_RHOAC	reviewed	Light-harvesting protein B-800/820 alpha chain (Antenna pigment protein alpha chain) (LH3 complex subunit alpha)		Rhodoblastus acidophilus (Rhodopseudomonas acidophila)	53
4760	P35094	LHB1_RHOAC	reviewed	Light-harvesting protein B-800/820 beta chain (Antenna pigment protein beta chain) (LH3 complex subunit beta)		Rhodoblastus acidophilus (Rhodopseudomonas acidophila)	42
4761	P35241	RADI_HUMAN	reviewed	Radixin	RDX	Homo sapiens (Human)	583
4762	P35243	RECO_HUMAN	reviewed	Recoverin (Cancer-associated retinopathy protein) (Protein CAR)	RCVRN RCV1	Homo sapiens (Human)	200
4763	P35247	SFTPD_HUMAN	reviewed	Pulmonary surfactant-associated protein D (PSP-D) (SP-D) (Collectin-7) (Lung surfactant protein D)	SFTPD COLEC7 PSPD SFTP4	Homo sapiens (Human)	375
4764	P35270	SPRE_HUMAN	reviewed	Sepiapterin reductase (SPR) (EC 1.1.1.153)	SPR	Homo sapiens (Human)	261
4765	P35340	AHPF_ECOLI	reviewed	Alkyl hydroperoxide reductase subunit F (EC 1.8.1.-) (Alkyl hydroperoxide reductase F52A protein)	ahpF b0606 JW0599	Escherichia coli (strain K12)	521
4766	P35520	CBS_HUMAN	reviewed	Cystathionine beta-synthase (EC 4.2.1.22) (Beta-thionase) (Serine sulfhydrase)	CBS	Homo sapiens (Human)	551
4767	P35568	IRS1_HUMAN	reviewed	Insulin receptor substrate 1 (IRS-1)	IRS1	Homo sapiens (Human)	1242
4768	P35625	TIMP3_HUMAN	reviewed	Metalloproteinase inhibitor 3 (Protein MIG-5) (Tissue inhibitor of metalloproteinases 3) (TIMP-3)	TIMP3	Homo sapiens (Human)	211
4769	P35749	MYH11_HUMAN	reviewed	Myosin-11 (Myosin heavy chain 11) (Myosin heavy chain, smooth muscle isoform) (SMMHC)	MYH11 KIAA0866	Homo sapiens (Human)	1972
4770	P35754	GLRX1_HUMAN	reviewed	Glutaredoxin-1 (Thioltransferase-1) (TTase-1)	GLRX GRX	Homo sapiens (Human)	106
4771	P35914	HMGCL_HUMAN	reviewed	Hydroxymethylglutaryl-CoA lyase, mitochondrial (HL) (HMG-CoA lyase) (EC 4.1.3.4) (3-hydroxy-3-methylglutarate-CoA lyase)	HMGCL	Homo sapiens (Human)	325
4772	P35963	POL_HV1Y2	reviewed	Gag-Pol polyprotein (Pr160Gag-Pol) [Cleaved into: Matrix protein p17 (MA); Capsid protein p24 (CA); Spacer peptide 1 (SP1) (p2); Nucleocapsid protein p7 (NC); Transframe peptide (TF); p6-pol (p6*); Protease (EC 3.4.23.16) (PR) (Retropepsin); Reverse transcriptase/ribonuclease H (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.13) (Exoribonuclease H) (EC 3.1.13.2) (p66 RT); p51 RT; p15; Integrase (IN)]	gag-pol	Human immunodeficiency virus type 1 group M subtype B (isolate YU-2) (HIV-1)	1435
4773	P36021	MOT8_HUMAN	reviewed	Monocarboxylate transporter 8 (MCT 8) (Monocarboxylate transporter 7) (MCT 7) (Solute carrier family 16 member 2) (X-linked PEST-containing transporter)	SLC16A2 MCT8 XPCT	Homo sapiens (Human)	539
4774	P36204	PGKT_THEMA	reviewed	Bifunctional PGK/TIM [Includes: Phosphoglycerate kinase (EC 2.7.2.3); Triosephosphate isomerase (TIM) (EC 5.3.1.1) (Triose-phosphate isomerase)]	pgk/tpi TM_0689	Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099)	654
4775	P36275	VSHP_BPP21	reviewed	Head decoration protein (Head protein GPshp)	shp	Enterobacteria phage P21 (Bacteriophage 21) (Bacteriophage P21)	115
4776	P36405	ARL3_HUMAN	reviewed	ADP-ribosylation factor-like protein 3	ARL3 ARFL3	Homo sapiens (Human)	182
4777	P36419	SYD_THETH	reviewed	Aspartate--tRNA(Asp) ligase (EC 6.1.1.12) (Aspartyl-tRNA synthetase) (AspRS) (Discriminating aspartyl-tRNA synthetase) (D-AspRS)	aspS	Thermus thermophilus	580
4778	P36542	ATPG_HUMAN	reviewed	ATP synthase subunit gamma, mitochondrial (F-ATPase gamma subunit)	ATP5C1 ATP5C ATP5CL1	Homo sapiens (Human)	298
4779	P36673	TRER_ECOLI	reviewed	HTH-type transcriptional regulator TreR (Trehalose operon repressor)	treR b4241 JW4200	Escherichia coli (strain K12)	315
4780	P36683	ACNB_ECOLI	reviewed	Aconitate hydratase B (ACN) (Aconitase) (EC 4.2.1.3) ((2R,3S)-2-methylisocitrate dehydratase) ((2S,3R)-3-hydroxybutane-1,2,3-tricarboxylate dehydratase) (2-methyl-cis-aconitate hydratase) (EC 4.2.1.99) (Iron-responsive protein-like) (IRP-like) (RNA-binding protein)	acnB yacI yacJ b0118 JW0114	Escherichia coli (strain K12)	865
4781	P36871	PGM1_HUMAN	reviewed	Phosphoglucomutase-1 (PGM 1) (EC 5.4.2.2) (Glucose phosphomutase 1)	PGM1	Homo sapiens (Human)	562
4782	P36924	AMYB_BACCE	reviewed	Beta-amylase (EC 3.2.1.2) (1,4-alpha-D-glucan maltohydrolase)	spoII	Bacillus cereus	546
4783	P36946	RBSD_BACSU	reviewed	D-ribose pyranase (EC 5.4.99.62)	rbsD BSU35930	Bacillus subtilis (strain 168)	131
4784	P36952	SPB5_HUMAN	reviewed	Serpin B5 (Maspin) (Peptidase inhibitor 5) (PI-5)	SERPINB5 PI5	Homo sapiens (Human)	375
4785	P36959	GMPR1_HUMAN	reviewed	GMP reductase 1 (GMPR 1) (EC 1.7.1.7) (Guanosine 5'-monophosphate oxidoreductase 1) (Guanosine monophosphate reductase 1)	GMPR GMPR1	Homo sapiens (Human)	345
4786	P36969	GPX4_HUMAN	reviewed	Phospholipid hydroperoxide glutathione peroxidase, mitochondrial (PHGPx) (EC 1.11.1.12) (Glutathione peroxidase 4) (GPx-4) (GSHPx-4)	GPX4	Homo sapiens (Human)	197
4787	P37001	PAGP_ECOLI	reviewed	Lipid A palmitoyltransferase PagP (EC 2.3.1.-) (Antimicrobial peptide resistance) (Lipid A acylation protein)	pagP crcA ybeG b0622 JW0617	Escherichia coli (strain K12)	186
4788	P37062	NAPE_ENTFA	reviewed	NADH peroxidase (NPXase) (Npx) (EC 1.11.1.1)	npr EF_1211	Enterococcus faecalis (strain ATCC 700802 / V583)	447
4789	P37063	POXB_LACPL	reviewed	Pyruvate oxidase (EC 1.2.3.3) (Pyruvic oxidase) (POX)	pox5 lp_3589	Lactobacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1)	603
4790	P37093	GSPE_VIBCH	reviewed	Type II secretion system protein E (T2SS protein E) (Cholera toxin secretion protein EpsE) (General secretion pathway protein E) (Type II traffic warden ATPase)	epsE VC_2732	Vibrio cholerae serotype O1 (strain ATCC 39315 / El Tor Inaba N16961)	503
4791	P37330	MASZ_ECOLI	reviewed	Malate synthase G (MSG) (EC 2.3.3.9)	glcB glc b2976 JW2943	Escherichia coli (strain K12)	723
4792	P37551	PURR_BACSU	reviewed	Pur operon repressor	purR yabI BSU00470	Bacillus subtilis (strain 168)	285
4793	P37610	TAUD_ECOLI	reviewed	Alpha-ketoglutarate-dependent taurine dioxygenase (EC 1.14.11.17) (2-aminoethanesulfonate dioxygenase) (Sulfate starvation-induced protein 3) (SSI3)	tauD ssiD yaiG b0368 JW0360	Escherichia coli (strain K12)	283
4794	P37672	DLGD_ECOLI	reviewed	2,3-diketo-L-gulonate reductase (2,3-DKG reductase) (EC 1.1.1.130) (3-dehydro-L-gulonate 2-dehydrogenase)	dlgD yiaK b3575 JW3547	Escherichia coli (strain K12)	332
4795	P37698	GUNF_CLOCE	reviewed	Endoglucanase F (EC 3.2.1.4) (Cellulase F) (EGCCF) (Endo-1,4-beta-glucanase F)	celCCF Ccel_0729	Clostridium cellulolyticum (strain ATCC 35319 / DSM 5812 / JCM 6584 / H10)	722
4796	P37700	GUNG_CLOCE	reviewed	Endoglucanase G (EC 3.2.1.4) (Cellulase G) (EGCCG) (Endo-1,4-beta-glucanase G)	celCCG Ccel_0731	Clostridium cellulolyticum (strain ATCC 35319 / DSM 5812 / JCM 6584 / H10)	725
4797	P37747	GLF_ECOLI	reviewed	UDP-galactopyranose mutase (UGM) (EC 5.4.99.9) (UDP-GALP mutase) (Uridine 5-diphosphate galactopyranose mutase)	glf yefE b2036 JW2021	Escherichia coli (strain K12)	367
4798	P37957	ESTA_BACSU	reviewed	Lipase EstA (Lipase A) (EC 3.1.1.3) (Triacylglycerol lipase)	estA lip lipA BSU02700	Bacillus subtilis (strain 168)	212
4799	P38038	CYSJ_ECOLI	reviewed	Sulfite reductase [NADPH] flavoprotein alpha-component (SiR-FP) (EC 1.8.1.2)	cysJ b2764 JW2734	Escherichia coli (strain K12)	599
4800	P38424	ENGB_BACSU	reviewed	Probable GTP-binding protein EngB	engB ysxC BSU28190	Bacillus subtilis (strain 168)	195
4801	P38435	VKGC_HUMAN	reviewed	Vitamin K-dependent gamma-carboxylase (EC 4.1.1.90) (Gamma-glutamyl carboxylase) (Peptidyl-glutamate 4-carboxylase) (Vitamin K gamma glutamyl carboxylase)	GGCX GC	Homo sapiens (Human)	758
4802	P38489	NFSB_ECOLI	reviewed	Oxygen-insensitive NAD(P)H nitroreductase (EC 1.-.-.-) (Dihydropteridine reductase) (EC 1.5.1.34) (FMN-dependent nitroreductase)	nfsB dprA nfnB nfsI ntr b0578 JW0567	Escherichia coli (strain K12)	217
4803	P38516	RL4_THEMA	reviewed	50S ribosomal protein L4 (TmaL4)	rplD TM_1499	Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099)	235
4804	P38606	VATA_HUMAN	reviewed	V-type proton ATPase catalytic subunit A (V-ATPase subunit A) (EC 3.6.3.14) (V-ATPase 69 kDa subunit) (Vacuolar ATPase isoform VA68) (Vacuolar proton pump subunit alpha)	ATP6V1A ATP6A1 ATP6V1A1 VPP2	Homo sapiens (Human)	617
4805	P38940	NEPU_GEOSE	reviewed	Neopullulanase (EC 3.2.1.135)	nplT	Geobacillus stearothermophilus (Bacillus stearothermophilus)	588
4806	P39023	RL3_HUMAN	reviewed	60S ribosomal protein L3 (HIV-1 TAR RNA-binding protein B) (TARBP-B)	RPL3 OK/SW-cl.32	Homo sapiens (Human)	403
4807	P39075	BMRR_BACSU	reviewed	Multidrug-efflux transporter 1 regulator	bmrR bmr1R BSU24020	Bacillus subtilis (strain 168)	278
4808	P39126	IDH_BACSU	reviewed	Isocitrate dehydrogenase [NADP] (IDH) (EC 1.1.1.42) (IDP) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase)	icd citC BSU29130	Bacillus subtilis (strain 168)	423
4809	P39135	SFP_BACSU	reviewed	4'-phosphopantetheinyl transferase sfp (EC 2.7.8.-) (Surfactin synthase-activating enzyme)	sfp lpa-8 BSU03570	Bacillus subtilis (strain 168)	224
4810	P39265	ALSB_ECOLI	reviewed	D-allose-binding periplasmic protein (ALBP)	alsB yjcX b4088 JW4049	Escherichia coli (strain K12)	311
4811	P39300	ULAG_ECOLI	reviewed	Probable L-ascorbate-6-phosphate lactonase UlaG (EC 3.1.1.-) (L-ascorbate utilization protein G)	ulaG yjfR b4192 JW5868	Escherichia coli (strain K12)	354
4812	P39304	ULAD_ECOLI	reviewed	3-keto-L-gulonate-6-phosphate decarboxylase UlaD (EC 4.1.1.85) (3-dehydro-L-gulonate-6-phosphate decarboxylase) (KGPDC) (L-ascorbate utilization protein D)	ulaD sgaH yjfV b4196 JW4154	Escherichia coli (strain K12)	216
4813	P39377	IADA_ECOLI	reviewed	Isoaspartyl dipeptidase (EC 3.4.19.-)	iadA yjiF b4328 JW4291	Escherichia coli (strain K12)	390
4814	P39593	THIM_BACSU	reviewed	Hydroxyethylthiazole kinase (EC 2.7.1.50) (4-methyl-5-beta-hydroxyethylthiazole kinase) (TH kinase) (Thz kinase)	thiM thiK ywbJ BSU38300 ipa-25d	Bacillus subtilis (strain 168)	272
4815	P39594	THIE_BACSU	reviewed	Thiamine-phosphate synthase (TP synthase) (TPS) (EC 2.5.1.3) (Thiamine-phosphate pyrophosphorylase) (TMP pyrophosphorylase) (TMP-PPase)	thiE thiC ywbK BSU38290 ipa-26d	Bacillus subtilis (strain 168)	222
4816	P39621	SPSA_BACSU	reviewed	Spore coat polysaccharide biosynthesis protein SpsA	spsA BSU37910 ipa-63d	Bacillus subtilis (strain 168)	256
4817	P39639	BACB_BACSU	reviewed	Bacilysin biosynthesis protein BacB	bacB ywfC BSU37730 ipa-81d	Bacillus subtilis (strain 168)	235
4818	P39646	PTAS_BACSU	reviewed	Phosphate acetyltransferase (EC 2.3.1.8) (Phosphotransacetylase) (Vegetative protein 43) (VEG43)	pta ywfJ BSU37660 ipa-88d	Bacillus subtilis (strain 168)	323
4819	P39662	HMP_CUPNH	reviewed	Flavohemoprotein (FHP) (Flavohemoglobin) (Hemoglobin-like protein) (Nitric oxide dioxygenase) (NO oxygenase) (NOD) (EC 1.14.12.17)	hmp fhp PHG200	Cupriavidus necator (strain ATCC 17699 / H16 / DSM 428 / Stanier 337) (Ralstonia eutropha)	403
4820	P39767	PORI_RHOBL	reviewed	Porin	opmA	Rhodobacter blasticus (Rhodopseudomonas blastica)	289
4821	P39805	LICT_BACSU	reviewed	Transcription antiterminator LicT	licT BSU39080 N15A	Bacillus subtilis (strain 168)	277
4822	P39841	MANA3_BACSU	reviewed	Putative mannose-6-phosphate isomerase YvyI (EC 5.3.1.8) (Phosphohexomutase) (Phosphomannose isomerase) (PMI)	yvyI pmi BSU35790	Bacillus subtilis (strain 168)	316
4823	P39905	GDNF_HUMAN	reviewed	Glial cell line-derived neurotrophic factor (hGDNF) (Astrocyte-derived trophic factor) (ATF)	GDNF	Homo sapiens (Human)	211
4824	P40306	PSB10_HUMAN	reviewed	Proteasome subunit beta type-10 (EC 3.4.25.1) (Low molecular mass protein 10) (Macropain subunit MECl-1) (Multicatalytic endopeptidase complex subunit MECl-1) (Proteasome MECl-1) (Proteasome subunit beta-2i)	PSMB10 LMP10 MECL1	Homo sapiens (Human)	273
4825	P40394	ADH7_HUMAN	reviewed	Alcohol dehydrogenase class 4 mu/sigma chain (EC 1.1.1.1) (Alcohol dehydrogenase class IV mu/sigma chain) (Gastric alcohol dehydrogenase) (Retinol dehydrogenase)	ADH7	Homo sapiens (Human)	386
