Index	TID	Accession	Synonym	Description
2835	103996	Q2TB90	HKDC1	Putative hexokinase HKDC1
2836	103997	Q38C41	Phosphotransferase	Phosphotransferase
2837	100243	P9WIQ1	glf	UDP-galactopyranose mutase
2838	107961	P0C559	gyrB	DNA gyrase subunit B
2839	103999	Q61009	Srb1	Scavenger receptor class B member 1
2840	100247	P25044	PTP1	Tyrosine-protein phosphatase 1
2841	101318	O32393	cyaC	Adenylate cyclase
2842	12567	P00185	Cyp1a-1	Cytochrome P450 1A1
2843	100244	P06026	Rhizopuspepsin	Rhizopuspepsin
2844	106587	J7HAW4	Acetolactate synthase	Acetolactate synthase
2845	106584	I3VR33	Ryanodine receptor	Ryanodine receptor
2846	106582	H9BT73	ACCase	ACCase
2847	106583	H9CNL0	Ryanodien receptor	Ryanodien receptor
2848	106581	H6TY12	Nicotinic acetylcholine receptor alpha8 subunit	Nicotinic acetylcholine receptor alpha8 subunit
2849	100158	P05187	PLAP	Alkaline phosphatase, placental type
2850	102890	Q0PJ46	LDH	Lactate dehydrogenase
2851	100908	P36896	ACVRLK4 	Activin receptor type-1B
2852	100414	P41279	COT 	Mitogen-activated protein kinase kinase kinase 8
2853	12622	O14746	EST2 	Telomerase reverse transcriptase
2854	12620	P00382	dhfrI	Dihydrofolate reductase type 1
2855	101598	Q04771	ACVRLK2	Activin receptor type-1
2856	12627	P16234	PDGFR2 	Platelet-derived growth factor receptor alpha
2857	12709	P30281	CCND3	G1/S-specific cyclin-D3
2858	106564	C5HJ74	psbA	Photosystem II protein D1
2859	101590	P35327	luxR	Transcriptional activator protein LuxR
2860	101591	P35398	NR1F1 	Nuclear receptor ROR-alpha
2861	101592	Q00613	HSTF1	Heat shock factor protein 1
2862	101593	Q02224	CENPE	Centromere-associated protein E
2863	10841	P16257	Bzrp 	Translocator protein
2864	10842	Q16513	PRK2 	Serine/threonine-protein kinase N2
2865	11538	P43005	EAAC1 	Excitatory amino acid transporter 3
2866	10844	P41240	CSK	Tyrosine-protein kinase CSK
2867	10845	Q13393	PLD1	Phospholipase D1
2868	100331	Q5TCQ9	KIAA1634	Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 3
2869	11533	Q16773	CCBL1	Kynurenine--oxoglutarate transaminase 1
2870	10849	P52333	JAK3	Tyrosine-protein kinase JAK3
2871	11531	P19838	NFKB1	Nuclear factor NF-kappa-B p105 subunit
2872	11530	P70627	Naalad1	Glutamate carboxypeptidase 2
2873	104320	Q12852	ZPK	Mitogen-activated protein kinase kinase kinase 12
2874	11536	Q92847	GHSR	Growth hormone secretagogue receptor type 1
2875	11535	P49327	FAS	Fatty acid synthase
2876	11534	P25774	CTSS	Cathepsin S
2877	100629	P23470	PTPG	Receptor-type tyrosine-protein phosphatase gamma
2878	103531	Q9Y3Q4	HCN4	Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 4
2879	103532	A0ZX81	blaSHV-72	Beta-lactamase
2880	103537	O15151	MDMX	Protein Mdm4
2881	100621	P30656	DOA3 	Proteasome subunit beta type-5
2882	103147	P05089	ARG1	Arginase-1
2883	100623	P28827	PTPRL1	Receptor-type tyrosine-protein phosphatase mu
2884	100622	P28907	CD38	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1
2885	100624	P28074	LMPX 	Proteasome subunit beta type-5
2886	100627	P24666	ACP1	Low molecular weight phosphotyrosine protein phosphatase
2887	100626	P27008	Adprt	Poly [ADP-ribose] polymerase 1
2888	109456	Q99884	PROT	Sodium-dependent proline transporter
2889	12198	P31652	Slc6a4	Sodium-dependent serotonin transporter
2890	101103	Q9ZLT0	glr	Glutamate racemase
2891	11407	P45984	JNK2 	Mitogen-activated protein kinase 9
2892	105123	P65502	nadD	Probable nicotinate-nucleotide adenylyltransferase
2893	105122	Q6PE15	Abhd10	Mycophenolic acid acyl-glucuronide esterase, mitochondrial
2894	11403	P18911	Nr1b3	Retinoic acid receptor gamma
2895	105124	P63165	SMT3C 	Small ubiquitin-related modifier 1
2896	11401	P17164	Fuca	Tissue alpha-L-fucosidase
2897	11400	P42345	FRAP 	Serine/threonine-protein kinase mTOR
2898	104180	Q9GZU7	NIF3 	Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 1
2899	104181	Q9JN24	def	Peptide deformylase
2900	12754	P24822	Akp-3 	Intestinal-type alkaline phosphatase
2901	104183	Q9NPA2	MMP20 	Matrix metalloproteinase-25
2902	12753	O88275	Nr1c3	Peroxisome proliferator-activated receptor gamma
2903	11409	Q02750	MEK1 	Dual specificity mitogen-activated protein kinase kinase 1
2904	12751	O42392	NR1I1	Vitamin D3 receptor
2905	101119	Q4G017	Nisch	Nischarin
2906	10938	O60674	JAK2	Tyrosine-protein kinase JAK2
2907	10939	Q9UK32	RSK4	Ribosomal protein S6 kinase alpha-6
2908	101110	P10845	atx 	Botulinum neurotoxin type A
2909	105562	P05100	None	DNA-3-methyladenine glycosylase 1
2910	101112	P11167	Glut-1 	Solute carrier family 2, facilitated glucose transporter member 1
2911	10930	Q00788	Avpr2	Vasopressin V2 receptor
2912	101115	Q42656	Alpha-galactosidase	Alpha-galactosidase
2913	10932	P98105	Elam-1	E-selectin
2914	101117	Q46991	blaIMI-1 	Beta-lactamase
2915	104611	Q63089	Oct1	Solute carrier family 22 member 1
2916	104613	O88909	Oat3 	Solute carrier family 22 member 8
2917	104614	O75751	EMTH 	Solute carrier family 22 member 3
2918	104615	O70127	Bsep 	Bile salt export pump
2919	104617	Q63120	Cmoat 	Canalicular multispecific organic anion transporter 1
2920	105553	Q9CAK8	MCS 	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase, chloroplastic
2921	102872	P9WMF9	dosR	Transcriptional regulatory protein DevR (DosR)
2922	12283	Q9UQL6	KIAA0600	Histone deacetylase 5
2923	101055	Q9Y616	IRAK3	Interleukin-1 receptor-associated kinase 3
2924	102878	P9WIL5	panC	Pantothenate synthetase
2925	101506	Q9H2K8	DPK 	Serine/threonine-protein kinase TAO3
2926	101370	O60930	RNH1	Ribonuclease H1
2927	101057	Q9Y6F1	ADPRT3 	Poly [ADP-ribose] polymerase 3
2928	101373	O75164	JHDM3A 	Lysine-specific demethylase 4A
2929	105558	P21687	crtY	Lycopene cyclase
2930	101056	Q9Y6E0	MST3 	Serine/threonine-protein kinase 24
2931	101378	P22314	A1S9T 	Ubiquitin-like modifier-activating enzyme 1
2932	101379	P22413	M6S1 	Ectonucleotide pyrophosphatase/phosphodiesterase family member 1
2933	105559	P25462	GLN2	Glutamine synthetase, chloroplastic
2934	104504	Q8WQX9	PDEB1	Phosphodiesterase
2935	105129	P61956	SMT3B 	Small ubiquitin-related modifier 2
2936	11711	Q61391	Mme	Neprilysin
2937	101575	P03374	env	Envelope glycoprotein gp70
2938	11717	O09114	Ptgds	Prostaglandin-H2 D-isomerase
2939	104501	P03126	E6	Protein E6
2940	104503	P68826	def1 	Peptide deformylase
2941	11718	P11416	Nr1b1	Retinoic acid receptor alpha
2942	104509	Q13564	APPBP1	NEDD8-activating enzyme E1 regulatory subunit
2943	101578	P03379	env	Envelope glycoprotein gp160
2944	10062	P0AE18	None	Methionine aminopeptidase
2945	105674	P40261	NNMT	Nicotinamide N-methyltransferase
2946	105676	P12004	PCNA	Proliferating cell nuclear antigen
2947	20179	P07265	MAL6S	Alpha-glucosidase MAL62
2948	102582	A3RLP8	UL23	Thymidine kinase
2949	102583	A4KCT8	BlaGIL-1	Beta-lactamase
2950	10068	P20151	KLK2	Kallikrein-2
2951	20174	Q9Y5Y4	CRTH2 	Prostaglandin D2 receptor 2
2952	102587	Q60457	ACAT 	Sterol O-acyltransferase 1
2953	20171	Q9UQB9	AIE2 	Aurora kinase C
2954	133	P37231	NR1C3	Peroxisome proliferator-activated receptor gamma
2955	132	P37088	SCNN1	Amiloride-sensitive sodium channel subunit alpha
2956	131	P35498	NAC1 	Sodium channel protein type 1 subunit alpha
2957	130	P35462	DRD3	D(3) dopamine receptor
2958	137	P41145	OPRK	Kappa-type opioid receptor
2959	136	P41143	OPRD	Delta-type opioid receptor
2960	134	P37288	AVPR1	Vasopressin V1a receptor
2961	139	P41972	ileS	Isoleucine--tRNA ligase
2962	138	P41146	OOR 	Nociceptin receptor
2963	17005	Q75Z89	5HTR2A	5-hydroxytryptamine receptor 2A
2964	17007	P04055	Pla2g1b	Phospholipase A2
2965	105586	P39052	Dyn2	Dynamin-2
2966	12376	P39086	GLUR5	Glutamate receptor ionotropic, kainate 1
2967	102909	Q9RMS5	qscR 	PhzR
2968	12378	Q13002	GLUR6	Glutamate receptor ionotropic, kainate 2
2969	100058	P16298	CALNA2 	Serine/threonine-protein phosphatase 2B catalytic subunit beta isoform
2970	102901	P26993	exsA	Exoenzyme S synthesis regulatory protein ExsA
2971	10664	P19801	ABP1 	Amiloride-sensitive amine oxidase [copper-containing]
2972	10665	P36633	Abp1	Amiloride-sensitive amine oxidase [copper-containing]
2973	10666	P21836	Ache	Acetylcholinesterase
2974	10667	P37136	Ache	Acetylcholinesterase
2975	12172	P54290	Cacnl2a 	Voltage-dependent calcium channel subunit alpha-2/delta-1
2976	12173	P30729	Drd4	D(4) dopamine receptor
2977	12170	Q64640	Adk	Adenosine kinase
2978	102474	Q9Y3S1	KIAA1760 	Serine/threonine-protein kinase WNK2
2979	12823	P53792	Sglt2	Sodium/glucose cotransporter 2
2980	12179	P62993	ASH	Growth factor receptor-bound protein 2
2981	10288	P70180	Npr3	Atrial natriuretic peptide receptor 3
2982	10287	P01590	Il2r	Interleukin-2 receptor subunit alpha
2983	109564	P29372	AAG 	DNA-3-methyladenine glycosylase
2984	10280	Q9Y5N1	GPCR97	Histamine H3 receptor
2985	102899	Q96WJ0	ERG7	Lanosterol synthase
2986	104430	P49681	Gpr7	Neuropeptides B/W receptor type 1
2987	10449	P68825	def1 	Peptide deformylase
2988	10119	P04326	Protein Tat	Protein Tat
2989	10444	P00761	Trypsin	Trypsin
2990	10445	P28593	TPR	Trypanothione reductase
2991	10441	P08049	MME	Neprilysin
2992	10442	P30418	None	Glycylpeptide N-tetradecanoyltransferase
2993	10443	P00760	Cationic trypsin	Cationic trypsin
2994	108316	Q80Z29	Pbef1	Nicotinamide phosphoribosyltransferase
2995	104435	O15297	WIP1	Protein phosphatase 1D
2996	10593	P14099	PDE2A	cGMP-dependent 3',5'-cyclic phosphodiesterase
2997	102619	O46128	nAChR	Nicotinic acetylcholine receptor alpha1 subunit
2998	105477	P52633	Stat6	Signal transducer and transcription activator 6
2999	104436	P9WH09	strL	dTDP-4-dehydrorhamnose reductase
3000	10594	O00408	PDE2A	cGMP-dependent 3',5'-cyclic phosphodiesterase
3001	10595	Q01062	Pde2a	cGMP-dependent 3',5'-cyclic phosphodiesterase
3002	10599	Q07343	DPDE4	cAMP-specific 3',5'-cyclic phosphodiesterase 4B
3003	102617	P56073	aroK	Shikimate kinase
3004	11882	Q9NYA1	SPHK 	Sphingosine kinase 1
3005	88	P21728	DRD1	D(1A) dopamine receptor
3006	89	P21817	RYDR	Ryanodine receptor 1
3007	80	P62942	FKBP1 	Peptidyl-prolyl cis-trans isomerase FKBP1A
3008	86	P21397	MAOA	Amine oxidase [flavin-containing] A
3009	87	P21554	CNR	Cannabinoid receptor 1
3010	84	P20839	IMPD1	Inosine-5'-monophosphate dehydrogenase 1
3011	106616	P26294	crtP	15-cis-phytoene desaturase
3012	104126	Q8TBX8	PIP5K2C	Phosphatidylinositol 5-phosphate 4-kinase type-2 gamma
3013	106615	P25805	Trophozoite cysteine proteinase	Trophozoite cysteine proteinase
3014	106612	P18063	G2/mitotic-specific cyclin-B	G2/mitotic-specific cyclin-B
3015	103588	P11142	HSC70 	Heat shock cognate 71 kDa protein
3016	103037	Q8K418	Brs3	Bombesin receptor subtype-3
3017	102723	O15438	CMOAT2 	Canalicular multispecific organic anion transporter 2
3018	13025	P52624	Up 	Uridine phosphorylase 1
3019	13024	P30875	Smstr2 	Somatostatin receptor type 2
3020	13029	Q9Y2Q3	GSTK1	Glutathione S-transferase kappa 1
3021	13028	P62965	Crabp1	Cellular retinoic acid-binding protein 1
3022	102728	O60502	HEXC 	Protein O-GlcNAcase
3023	109818	Q96T53	GOAT 	Ghrelin O-acyltransferase
3024	106631	Q04IS7	murI	Glutamate racemase
3025	109815	P11507	Atp2a2	Sarcoplasmic/endoplasmic reticulum calcium ATPase 2
3026	109810	Q61586	Gpat1	Glycerol-3-phosphate acyltransferase 1, mitochondrial
3027	11089	P49662	ICH2	Caspase-4
3028	11088	P05362	ICAM1	Intercellular adhesion molecule 1
3029	12995	P47866	Crf2r	Corticotropin-releasing factor receptor 2
3030	12998	Q64560	Tpp2	Tripeptidyl-peptidase 2
3031	11082	P49137	MAPKAPK2	MAP kinase-activated protein kinase 2
3032	11081	O15264	PRKM13 	Mitogen-activated protein kinase 13
3033	11080	P63085	Erk2 	Mitogen-activated protein kinase 1
3034	11087	O35627	Car	Nuclear receptor subfamily 1 group I member 3
3035	103056	Q49PX0	VACV_BRZ_SERRO2_026	N1L
3036	11085	P49286	MTNR1B	Melatonin receptor type 1B
3037	11084	P48039	MTNR1A	Melatonin receptor type 1A
3038	105652	P0C1S0	mgr	HTH-type transcriptional regulator MgrA
3039	109961	Q495T6	MELL1 	Membrane metallo-endopeptidase-like 1
3040	109960	P07147	Tyrp-1	5,6-dihydroxyindole-2-carboxylic acid oxidase
3041	109963	Q8QZV1	Pde9a	High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A
3042	109965	P04585	gag-pol	Gag-Pol polyprotein
3043	109967	Q11205	Siat4b 	CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 2
3044	109969	A0A059UE90	GSK3beta	Glycogen synthase kinase-3 beta splice variant X1
3045	109968	P29172	TAU	Microtubule-associated protein tau
3046	102875	P9WJN3	mshB	1D-myo-inositol 2-acetamido-2-deoxy-alpha-D-glucopyranoside deacetylase
3047	102990	P52270	Triosephosphate isomerase, glycosomal	Triosephosphate isomerase, glycosomal
3048	100434	P32248	CMKBR7 	C-C chemokine receptor type 7
3049	100435	P61794	Edg2 	Lysophosphatidic acid receptor 1
3050	100436	P51685	CKRL1 	C-C chemokine receptor type 8
3051	100430	P49019	GPR109B 	Hydroxycarboxylic acid receptor 3
3052	100431	O14842	GPR40	Free fatty acid receptor 1
3053	100432	P51684	CKRL3 	C-C chemokine receptor type 6
3054	100433	Q8K5E0	Edg7 	Lysophosphatidic acid receptor 3
3055	109499	Q9X9I8	irp9	Salicylate synthetase, Irp9
3056	11154	P50281	MMP14	Matrix metalloproteinase-14
3057	103455	Q9UPZ9	KIAA0936	Serine/threonine-protein kinase ICK
3058	11156	P46663	BRADYB1	B1 bradykinin receptor
3059	11150	P53355	DAPK	Death-associated protein kinase 1
3060	11153	Q9UK17	KCND3	Potassium voltage-gated channel subfamily D member 3
3061	11152	Q05932	FPGS	Folylpolyglutamate synthase, mitochondrial
3062	108149	Q8VCT4	Ces1 	Carboxylesterase 1D
3063	11159	Q12882	DPYD	Dihydropyrimidine dehydrogenase [NADP(+)]
3064	11158	Q01668	CACH3 	Voltage-dependent L-type calcium channel subunit alpha-1D
3065	103459	Q27793	Bifunctional dihydrofolate reductase-thymidylate synthase	Bifunctional dihydrofolate reductase-thymidylate synthase
3066	109942	P01042	BDK 	Kininogen-1
3067	101259	P47806	Gli	Zinc finger protein GLI1
3068	11539	Q01432	AMPD3	AMP deaminase 3
3069	11658	P06733	ENO1L1 	Alpha-enolase
3070	11239	Q9UIQ6	OTASE	Leucyl-cystinyl aminopeptidase
3071	11230	Q14534	ERG1	Squalene monooxygenase
3072	11231	P48449	OSC	Lanosterol synthase
3073	11232	P56524	KIAA0288	Histone deacetylase 4
3074	11234	Q9Z2V6	Hdac5	Histone deacetylase 5
3075	11235	Q9Z2V5	Hdac6	Histone deacetylase 6
3076	11236	P30873	Smstr1	Somatostatin receptor type 1
3077	11237	P26006	MSK18	Integrin alpha-3
3078	12578	P67774	PPP2CA	Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform
3079	12579	Q08209	CALNA 	Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform
3080	103987	P63279	UBC9 	SUMO-conjugating enzyme UBC9
3081	100790	Q92630	DYRK2	Dual specificity tyrosine-phosphorylation-regulated kinase 2
3082	12570	P19112	Fbp	Fructose-1,6-bisphosphatase 1
3083	12571	P22771	Glra2	Glycine receptor subunit alpha-2
3084	12576	P42338	PIK3C1	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform
3085	12577	Q09470	KCNA1	Potassium voltage-gated channel subfamily A member 1
3086	106594	M3VH47	CSNK1D	Casein kinase 1, delta tv1
3087	106597	O18323	Voltage-dependent calcium channel alpha-1 subunit	Voltage-dependent calcium channel alpha-1 subunit
3088	100792	O60725	PCCMT	Protein-S-isoprenylcysteine O-methyltransferase
3089	101040	Q69ZF3	Kiaa1605	Non-lysosomal glucosylceramidase
3090	106590	K4JQ36	ace2	Carboxylic ester hydrolase
3091	10742	P53609	PGGT1B	Geranylgeranyl transferase type-1 subunit beta
3092	100794	P41148	GRP94 	Endoplasmin
3093	100290	P48546	GIPR	Gastric inhibitory polypeptide receptor
3094	100293	O00142	TK2	Thymidine kinase 2, mitochondrial
3095	105446	Q92800	KIAA0388	Histone-lysine N-methyltransferase EZH1
3096	100796	Q61214	Dyrk	Dual specificity tyrosine-phosphorylation-regulated kinase 1A
3097	11524	P56481	Cckbr	Gastrin/cholecystokinin type B receptor
3098	100799	Q8R431	Mgl2	Monoglyceride lipase
3099	101589	P35222	CTNNB	Catenin beta-1
3100	101588	P33905	traR	Transcriptional activator protein TraR
3101	11520	P29350	HCP 	Tyrosine-protein phosphatase non-receptor type 6
3102	11521	P35236	PTPN7	Tyrosine-protein phosphatase non-receptor type 7
3103	11522	P32239	CCKRB	Gastrin/cholecystokinin type B receptor
3104	11523	Q06124	PTP2C 	Tyrosine-protein phosphatase non-receptor type 11
3105	101583	P31938	Mek1 	Dual specificity mitogen-activated protein kinase kinase 1
3106	101582	P31750	Akt 	RAC-alpha serine/threonine-protein kinase
3107	12615	P48058	GLUR4	Glutamate receptor 4
3108	12614	P31646	Gabt2 	Sodium- and chloride-dependent GABA transporter 2
3109	11528	P79266	CCKBR	Gastrin/cholecystokinin type B receptor
3110	101586	P32755	Hpd	4-hydroxyphenylpyruvate dioxygenase
3111	101585	P32301	Glpr	Glucagon-like peptide 1 receptor
3112	101584	P32298	GPRK2L 	G protein-coupled receptor kinase 4
3113	100342	P31651	Gabt2 	Sodium- and chloride-dependent betaine transporter
3114	100616	P48163	ME1	NADP-dependent malic enzyme
3115	100341	P31650	Gabt3 	Sodium- and chloride-dependent GABA transporter 3
3116	100610	P51661	Hsd11k	Corticosteroid 11-beta-dehydrogenase isozyme 2
3117	100611	P51589	CYP2J2	Cytochrome P450 2J2
3118	100613	P49721	PSMB2	Proteasome subunit beta type-2
3119	101213	P14920	DAMOX	D-amino-acid oxidase
3120	101212	P14743	CDC72	Glycylpeptide N-tetradecanoyltransferase
3121	101211	P14616	IRR	Insulin receptor-related protein
3122	104330	B2LUN4	GSK3-beta	Glycogen synthase kinase 3 beta
3123	101217	P43057	PKC1	Protein kinase C-like 1
3124	101574	P03373	gag	Gag polyprotein
3125	104335	P01584	IL1F2	Interleukin-1 beta
3126	101214	P15127	Insr	Insulin receptor
3127	322	Q9Y6K1	DNMT3A	DNA (cytosine-5)-methyltransferase 3A
3128	100186	Q12884	FAP	Prolyl endopeptidase FAP
3129	321	P26358	AIM 	DNA (cytosine-5)-methyltransferase 1
3130	326	P9WGY9	rpoB	DNA-directed RNA polymerase subunit beta
3131	103529	P06865	HEXA	Beta-hexosaminidase subunit alpha
3132	329	Q9UHC9	NPC1L1	Niemann-Pick C1-like protein 1
3133	104364	Q62730	Edh17b2	Estradiol 17-beta-dehydrogenase 2
3134	104119	Q5DUB1	TACR1	Substance-P receptor
3135	104197	Q8TEK3	KIAA1814 	Histone-lysine N-methyltransferase, H3 lysine-79 specific
3136	101477	P28062	LMP7 	Proteasome subunit beta type-8
3137	104192	Q1R2J4	fimH	Type 1 fimbiral adhesin FimH
3138	101476	P27695	APE 	DNA-(apurinic or apyrimidinic site) lyase
3139	104199	Q25615	Chitinase	Chitinase
3140	104198	O43463	KMT1A 	Histone-lysine N-methyltransferase SUV39H1
3141	101107	P10481	nanH	Sialidase
3142	101106	P10686	Plcg1	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1
3143	101105	P10605	Ctsb	Cathepsin B
3144	11413	P24158	MBN	Myeloblastin
3145	11414	P18433	PTPA 	Receptor-type tyrosine-protein phosphatase alpha
3146	11415	P09467	FBP	Fructose-1,6-bisphosphatase 1
3147	11416	P09211	FAEES3 	Glutathione S-transferase P
3148	103722	P25440	KIAA9001 	Bromodomain-containing protein 2
3149	11418	P0A6W3	murX	Phospho-N-acetylmuramoyl-pentapeptide-transferase
3150	12761	P09057	Odc	Ornithine decarboxylase
3151	10948	Q62666	Vacht 	Vesicular acetylcholine transporter
3152	100988	Q13490	API1 	Baculoviral IAP repeat-containing protein 2
3153	100989	Q13510	ASAH	Acid ceramidase
3154	100984	P07308	Scd	Acyl-CoA desaturase 1
3155	100986	P0DMV8	HSP72 	Heat shock 70 kDa protein 1A
3156	100987	P08151	GLI	Zinc finger protein GLI1
3157	10945	Q969S8	HDAC10	Histone deacetylase 10
3158	100983	P07254	chiA	Chitinase A
3159	108018	P46953	Haao	3-hydroxyanthranilate 3,4-dioxygenase
3160	104607	Q9R1U7	Oat3	Solute carrier family 22 member 8
3161	104605	O08966	Lx1 	Solute carrier family 22 member 1
3162	104604	O15427	MCT4	Monocarboxylate transporter 4
3163	104603	O70577	Oct2	Solute carrier family 22 member 2
3164	104600	Q96S53	TESK2	Dual specificity testis-specific protein kinase 2
3165	102860	P48776	Tdo	Tryptophan 2,3-dioxygenase
3166	100964	Q60963	Pafah	Platelet-activating factor acetylhydrolase
3167	102862	P19221	Cf2	Prothrombin
3168	102865	P06869	Plau	Urokinase-type plasminogen activator
3169	102864	Q8BLA8	Anktm1	Transient receptor potential cation channel subfamily A member 1
3170	102867	A0QNE0	None	DNA gyrase subunit B
3171	102869	Q59556	None	DNA gyrase subunit A
3172	102868	O86309	nat	Arylamine N-acetyltransferase
3173	100968	Q62226	Hhg1	Sonic hedgehog protein
3174	101361	Q96RJ0	TA1 	Trace amine-associated receptor 1
3175	101367	O60344	KIAA0604	Endothelin-converting enzyme 2
3176	105673	P96471	ska	Streptokinase
3177	101365	Q99558	NIK	Mitogen-activated protein kinase kinase kinase 14
3178	101364	Q99489	DDO	D-aspartate oxidase
3179	101368	O60678	HRMT1L3	Protein arginine N-methyltransferase 3
3180	104365	P51656	Edh17b1	Estradiol 17-beta-dehydrogenase 1
3181	20177	A3KMY8	None	Beta-glucuronidase
3182	101567	Q9NR96	TLR9	Toll-like receptor 9
3183	101566	Q9NFS5	spds	Spermidine synthase
3184	104517	Q64729	Tgfbr1	TGF-beta receptor type-1
3185	101563	Q9N6S8	Falcipain 2	Falcipain 2
3186	101568	Q9NR97	TLR8	Toll-like receptor 8
3187	20168	Q9N1N9	BCHE	Carboxylic ester hydrolase
3188	105643	Q63008	Nis	Sodium/iodide cotransporter
3189	105644	Q9NRS4	TMPRSS3	Transmembrane protease serine 4
3190	10728	P18090	Adrb1r	Beta-1 adrenergic receptor
3191	10059	P81721	Vesicular acetylcholine transporter	Vesicular acetylcholine transporter
3192	10058	P56450	Mc4r	Melanocortin receptor 4
3193	10057	Q9QZN9	Cnr2	Cannabinoid receptor 2
3194	10056	P78527	HYRC 	DNA-dependent protein kinase catalytic subunit
3195	20162	Q969V1	GPR145 	Melanin-concentrating hormone receptor 2
3196	20163	Q97S36	pheS	Phenylalanine--tRNA ligase alpha subunit
3197	20164	Q99P50	Ghsr	Growth hormone secretagogue receptor type 1
3198	10052	P79483	HLA-DRB3	HLA class II histocompatibility antigen, DR beta 3 chain
3199	20166	Q9JI35	HRH3	Histamine H3 receptor
3200	20172	Q9UUZ4	aglC	Alpha-galactosidase C
3201	120	P31213	SRD5A2	3-oxo-5-alpha-steroid 4-dehydrogenase 2
3202	121	P31645	HTT 	Sodium-dependent serotonin transporter
3203	17018	O42275	ache	Acetylcholinesterase
3204	17019	O62664	COX-1 	Prostaglandin G/H synthase 1
3205	124	P34998	CRFR 	Corticotropin-releasing factor receptor 1
3206	125	P35348	ADRA1C	Alpha-1A adrenergic receptor
3207	126	P35354	COX2	Prostaglandin G/H synthase 2
3208	127	P35367	HRH1	Histamine H1 receptor
3209	128	P35368	ADRA1B	Alpha-1B adrenergic receptor
3210	129	P35372	MOR1	Mu-type opioid receptor
3211	101029	Q15466	SHP	Nuclear receptor subfamily 0 group B member 2
3212	17017	O35880	Isoleucyl tRNA synthetase	Isoleucyl tRNA synthetase
3213	17015	O19067	N-methyl-D-aspartate receptor	N-methyl-D-aspartate receptor
3214	105244	Q6S996	PDEB1	Phosphodiesterase
3215	105246	Q9UBM7	D7SR	7-dehydrocholesterol reductase
3216	105247	O95551	EAP2 	Tyrosyl-DNA phosphodiesterase 2
3217	12388	Q9Y2R2	PTPN8	Tyrosine-protein phosphatase non-receptor type 22
3218	105243	Q9NYQ3	HAOX2	Hydroxyacid oxidase 2
3219	12387	P28838	LAPEP 	Cytosol aminopeptidase
3220	102916	Q8VD48	Dhrs9	Dehydrogenase/reductase SDR family member 9
3221	102910	P21588	Nt5 	5'-nucleotidase
3222	102913	Q02765	Ctss	Cathepsin S
3223	10612	O15530	PDK1	3-phosphoinositide-dependent protein kinase 1
3224	102469	B8Q4Z9	CRHR2	Corticotropin releasing hormone receptor 2
3225	102468	P00808	blaP	Beta-lactamase
3226	10617	P00791	PGA	Pepsin A
3227	102465	Q96BR1	CISK 	Serine/threonine-protein kinase Sgk3
3228	10618	P28566	HTR1E	5-hydroxytryptamine receptor 1E
3229	102467	P14677	pbpX	Penicillin-binding protein 2x
3230	102466	Q7DHH4	mecA_2	MecA
3231	102461	Q63380	NET	Transporter
3232	102463	P21281	ATP6B2 	V-type proton ATPase subunit B, brain isoform
3233	104176	P51843	AHC 	Nuclear receptor subfamily 0 group B member 1
3234	107658	Q12888	TP53BP1	Tumor suppressor p53-binding protein 1
3235	10438	P12822	DCP1	Angiotensin-converting enzyme
3236	10123	P41440	FLOT1 	Folate transporter 1
3237	10121	P35030	PRSS4 	Trypsin-3
3238	10120	Q15759	PRKM11 	Mitogen-activated protein kinase 11
3239	10127	Q9UP65	PLA2G4C	Cytosolic phospholipase A2 gamma
3240	10434	P12931	SRC1	Proto-oncogene tyrosine-protein kinase Src
3241	10125	P04183	TK1	Thymidine kinase, cytosolic
3242	10436	P00784	Papain	Papain
3243	103858	B5THE3	Sis	Sucrase-isomaltase
3244	104138	Q9ESG6	Gpr105	P2Y purinoceptor 14
3245	109948	A4D1B5	PION	Gamma-secretase-activating protein
3246	105141	P06582	hsp16-2	Heat shock protein Hsp-16.2
3247	105488	Q9JHG7	Pi3kg1	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform
3248	105489	Q8R0V5	Indol1	Indoleamine 2,3-dioxygenase 2
3249	109577	Q91WN4	Kmo	Kynurenine 3-monooxygenase
3250	105487	Q9U5N1	V-type proton ATPase subunit C	V-type proton ATPase subunit C
3251	102603	P22939	None	Farnesyl diphosphate synthase
3252	102604	P06721	None	Cystathionine beta-lyase MetC
3253	105480	Q20MD3	NA	Neuraminidase
3254	12371	P13721	Siat1	Beta-galactoside alpha-2,6-sialyltransferase 1
3255	104395	O95372	APT2	Acyl-protein thioesterase 2
3256	10544	P47900	P2RY1	P2Y purinoceptor 1
