yourlist:M2016071314483A1C7ED25EE8374758DF3FD545FD1ADE30N	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
Q7D6H9	Q7D6H9	Q7D6H9_MYCTO	unreviewed	Uncharacterized protein	MT2894	Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh)	315
P56598	P56598	GST29_FASHE	reviewed	Glutathione S-transferase class-mu 26 kDa isozyme 1 (GST1) (EC 2.5.1.18) (Fh1)		Fasciola hepatica (Liver fluke)	221
Q701T7	Q701T7	Q701T7_9INFA	unreviewed	Hemagglutinin	HA	Influenza A virus (A/turkey/Italy/220158/2002(H7N3))	560
Q976I3	Q976I3	SYDND_SULTO	reviewed	Aspartate--tRNA(Asp/Asn) ligase (EC 6.1.1.23) (Aspartyl-tRNA synthetase) (AspRS) (Non-discriminating aspartyl-tRNA synthetase) (ND-AspRS)	aspS STK_02050	Sulfolobus tokodaii (strain DSM 16993 / JCM 10545 / NBRC 100140 / 7)	429
Q8P8F1	Q8P8F1	Q8P8F1_XANCP	unreviewed	Uncharacterized protein	XCC2291	Xanthomonas campestris pv. campestris (strain ATCC 33913 / DSM 3586 / NCPPB 528 / LMG 568 / P 25)	689
P9WQB7	P9WQB7	AHPC_MYCTU	reviewed	Alkyl hydroperoxide reductase subunit C (MtAhpC) (EC 1.11.1.15) (Peroxiredoxin) (Thioredoxin peroxidase)	ahpC Rv2428	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	195
Q03322	Q03322	TLG1_YEAST	reviewed	T-SNARE affecting a late Golgi compartment protein 1 (Syntaxin TLG1)	TLG1 YDR468C D8035.11	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	224
Q8R7Y5	Q8R7Y5	ECFA2_CALS4	reviewed	Energy-coupling factor transporter ATP-binding protein EcfA2 (ECF transporter A component EcfA2) (EC 3.6.3.-)	ecfA2 cbiO2 TTE2260	Caldanaerobacter subterraneus subsp. tengcongensis (strain DSM 15242 / JCM 11007 / NBRC 100824 / MB4) (Thermoanaerobacter tengcongensis)	286
Q42578	Q42578	PER53_ARATH	reviewed	Peroxidase 53 (Atperox P53) (EC 1.11.1.7) (ATPA2)	PER53 P53 At5g06720 MPH15.8	Arabidopsis thaliana (Mouse-ear cress)	335
Q471R3	Q471R3	Q471R3_CUPPJ	unreviewed	Uncharacterized protein	Reut_A1503	Cupriavidus pinatubonensis (strain JMP 134 / LMG 1197) (Ralstonia eutropha (strain JMP 134))	113
Q9KNC3	Q9KNC3	YCGRL_VIBCH	reviewed	Cyclic di-GMP binding protein VCA0042	VC_A0042	Vibrio cholerae serotype O1 (strain ATCC 39315 / El Tor Inaba N16961)	252
Q6Q783	Q6Q783	KMT5C_MOUSE	reviewed	Histone-lysine N-methyltransferase KMT5C (EC 2.1.1.43) (Lysine-specific methyltransferase 5C) (Suppressor of variegation 4-20 homolog 2) (Su(var)4-20 homolog 2) (Suv4-20h2)	Kmt5c Suv420h2	Mus musculus (Mouse)	468
Q8JGS1	Q8JGS1	STIL_DANRE	reviewed	SCL-interrupting locus protein homolog	stil sill zgc:110502	Danio rerio (Zebrafish) (Brachydanio rerio)	1263
Q82MM8	Q82MM8	Q82MM8_STRAW	unreviewed	Uncharacterized protein	cvnB3 SAVERM_1632	Streptomyces avermitilis (strain ATCC 31267 / DSM 46492 / JCM 5070 / NBRC 14893 / NCIMB 12804 / NRRL 8165 / MA-4680)	144
Q9UVT8	Q9UVT8	RIB4_MAGO7	reviewed	6,7-dimethyl-8-ribityllumazine synthase (DMRL synthase) (LS) (Lumazine synthase) (EC 2.5.1.78)	MGG_04626	Magnaporthe oryzae (strain 70-15 / ATCC MYA-4617 / FGSC 8958) (Rice blast fungus) (Pyricularia oryzae)	200
Q83AA8	Q83AA8	FMT_COXBU	reviewed	Methionyl-tRNA formyltransferase (EC 2.1.2.9)	fmt CBU_1997	Coxiella burnetii (strain RSA 493 / Nine Mile phase I)	314
Q7CJK2	Q7CJK2	Q7CJK2_YERPE	unreviewed	Exopolyphosphatase (Putative exopolyphosphatase) (EC 3.6.1.11)	ppx y1397 YP_2704 YPO2837	Yersinia pestis	519
Q81RY4	Q81RY4	Q81RY4_BACAN	unreviewed	Putative xaa-pro aminopeptidase (Xaa-Pro aminopeptidase)	pepP GBAA_1901 BASH2_03955	Bacillus anthracis	427
B6CDL6	B6CDL6	B6CDL6_9MYCO	unreviewed	Flavin reductase (Oxidoreductase)	AFA91_09010	Mycobacterium goodii	161
G5CS11	G5CS11	G5CS11_9VIRU	unreviewed	Cu/Zn superoxide dismutase	mg277	Megavirus chiliensis	158
Q7WQ90	Q7WQ90	Q7WQ90_BORBR		Deleted.			
Q40772	Q40772	RIP2_PHYAM	reviewed	Antiviral protein 2 (EC 3.2.2.22) (PAP-II) (Ribosome-inactivating protein) (rRNA N-glycosidase)	PAP2 PAPII	Phytolacca americana (American pokeweed) (Phytolacca decandra)	310
Q5SGN2	Q5SGN2	Q5SGN2_THET8	unreviewed	Uncharacterized protein	TTHC002	Thermus thermophilus (strain HB8 / ATCC 27634 / DSM 579)	90
O41136	O41136	O41136_PBCV1	unreviewed	Uncharacterized protein	A654L	Paramecium bursaria Chlorella virus 1 (PBCV-1)	197
Q99YP5	Q99YP5	Q99YP5_STRP1	unreviewed	Uncharacterized protein	SPy_1604	Streptococcus pyogenes serotype M1	901
Q6M6R3	Q6M6R3	Q6M6R3_CORGL		Deleted.			
Q4WZ70	Q4WZ70	EASA_ASPFU	reviewed	Chanoclavine-I aldehyde reductase easA (EC 1.3.1.100) (Ergot alkaloid synthesis protein A) (Old yellow enzyme 3 homolog)	easA fgaOx3 AFUA_2G17960	Neosartorya fumigata (strain ATCC MYA-4609 / Af293 / CBS 101355 / FGSC A1100) (Aspergillus fumigatus)	376
Q4K4B6	Q4K4B6	Q4K4B6_PSEF5	unreviewed	Peptidase, M16 family (EC 3.4.24.-)	PFL_5859	Pseudomonas fluorescens (strain Pf-5 / ATCC BAA-477)	496
D5U596	D5U596	D5U596_BRAM5	unreviewed	ThiJ/PfpI domain protein	Bmur_0257	Brachyspira murdochii (strain ATCC 51284 / DSM 12563 / 56-150) (Serpulina murdochii)	174
F9VN77	F9VN77	F9VN77_SULTO	unreviewed	Putative 4-aminobutyrate aminotransferase (EC 2.6.1.19)	gabT STK_07350	Sulfolobus tokodaii (strain DSM 16993 / JCM 10545 / NBRC 100140 / 7)	419
Q53WA6	Q53WA6	Q53WA6_THET8	unreviewed	Precorrin-3 C17-methyltransferase	TTHB056	Thermus thermophilus (strain HB8 / ATCC 27634 / DSM 579)	295
P0ABU5	P0ABU5	ELBB_ECOLI	reviewed	Glyoxalase ElbB (EC 4.2.1.-) (Sigma cross-reacting protein 27A) (SCRP-27A)	elbB elb2 yzzB b3209 JW3176	Escherichia coli (strain K12)	217
Q0TTH0	Q0TTH0	Q0TTH0_CLOP1		Deleted.			
Q62261	Q62261	SPTB2_MOUSE	reviewed	Spectrin beta chain, non-erythrocytic 1 (Beta-II spectrin) (Embryonic liver fodrin) (Fodrin beta chain)	Sptbn1 Elf Spnb-2 Spnb2 Sptb2	Mus musculus (Mouse)	2363
H7C794	H7C794	PARE_ENTFA	reviewed	DNA topoisomerase 4 subunit B (EC 5.99.1.3) (Topoisomerase IV subunit B)	parE EF_1615	Enterococcus faecalis (strain ATCC 700802 / V583)	685
P06857	P06857	LIPR1_CANLF	reviewed	Inactive pancreatic lipase-related protein 1 (PL-RP1)	PNLIPRP1 PLRP1	Canis lupus familiaris (Dog) (Canis familiaris)	467
P03040	P03040	RCRO_LAMBD	reviewed	Regulatory protein cro	cro lambdap57	Enterobacteria phage lambda (Bacteriophage lambda)	66
Q2IFX2	Q2IFX2	Q2IFX2_ANADE	unreviewed	Methyl-accepting chemotaxis sensory transducer	Adeh_3718	Anaeromyxobacter dehalogenans (strain 2CP-C)	526
P27000	P27000	SYE_THET8	reviewed	Glutamate--tRNA ligase (EC 6.1.1.17) (Glutamyl-tRNA synthetase) (GluRS)	gltX TTHA0438	Thermus thermophilus (strain HB8 / ATCC 27634 / DSM 579)	468
Q7CJE8	Q7CJE8	Q7CJE8_YERPE	unreviewed	Uncharacterized protein	y1506 YP_2601 YPO2976	Yersinia pestis	415
A7TDS5	A7TDS5	A7TDS5_VANPO	unreviewed	Putative uncharacterized protein	Kpol_1018p77	Vanderwaltozyma polyspora (strain ATCC 22028 / DSM 70294) (Kluyveromyces polysporus)	1166
O59494	O59494	G3P_PYRHO	reviewed	Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) (EC 1.2.1.59) (NAD(P)-dependent glyceraldehyde-3-phosphate dehydrogenase)	gap PH1830	Pyrococcus horikoshii (strain ATCC 700860 / DSM 12428 / JCM 9974 / NBRC 100139 / OT-3)	334
O50147	O50147	ARBL_THET2	reviewed	Putative acetylglutamate kinase-like protein	TT_C1541	Thermus thermophilus (strain HB27 / ATCC BAA-163 / DSM 7039)	269
P25823	P25823	TUD_DROME	reviewed	Maternal protein tudor	tud CG9450	Drosophila melanogaster (Fruit fly)	2515
P27882	P27882	ERV1_YEAST	reviewed	Mitochondrial FAD-linked sulfhydryl oxidase ERV1 (EC 1.8.3.2) (14 kDa regulatory protein) (Essential for respiration and vegetative growth protein 1)	ERV1 YGR029W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	189
Q7WLM8	Q7WLM8	Q7WLM8_BORBR		Deleted.			
Q9DBL7	Q9DBL7	COASY_MOUSE	reviewed	Bifunctional coenzyme A synthase (CoA synthase) [Includes: Phosphopantetheine adenylyltransferase (EC 2.7.7.3) (Dephospho-CoA pyrophosphorylase) (Pantetheine-phosphate adenylyltransferase) (PPAT); Dephospho-CoA kinase (DPCK) (EC 2.7.1.24) (Dephosphocoenzyme A kinase) (DPCOAK)]	Coasy Ukr1	Mus musculus (Mouse)	563
Q7SID9	Q7SID9	Q7SID9_BREST	unreviewed	Oxidoreductase		Brevibacterium sterolicum	561
Q8A577	Q8A577	Q8A577_BACTN	unreviewed	SusD homolog	BT_2365	Bacteroides thetaiotaomicron (strain ATCC 29148 / DSM 2079 / NCTC 10582 / E50 / VPI-5482)	497
Q3M4J2	Q3M4J2	Q3M4J2_ANAVT	unreviewed	Peptidase C56, PfpI	Ava_4496	Anabaena variabilis (strain ATCC 29413 / PCC 7937)	364
Q5ZXS4	Q5ZXS4	Q5ZXS4_LEGPH	unreviewed	Outer membrane protein, OmpA family protein	lpg0657	Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513)	249
C4ZBG5	C4ZBG5	C4ZBG5_AGARV	unreviewed	Uncharacterized protein	EUBREC_1955	Agathobacter rectalis (strain ATCC 33656 / DSM 3377 / JCM 17463 / KCTC 5835 / VPI 0990) (Eubacterium rectale)	330
F0K5D8	F0K5D8	F0K5D8_CLOAE		Deleted.			
Q97VD2	Q97VD2	Q97VD2_SULSO	unreviewed	Uncharacterized protein	SSO2700	Sulfolobus solfataricus (strain ATCC 35092 / DSM 1617 / JCM 11322 / P2)	303
P69922	P69922	FUCI_ECOLI	reviewed	L-fucose isomerase (FucIase) (EC 5.3.1.25) (6-deoxy-L-galactose isomerase) (D-arabinose isomerase) (EC 5.3.1.3)	fucI b2802 JW2773	Escherichia coli (strain K12)	591
A8YBP8	A8YBP8	A8YBP8_MICAE	unreviewed	Cysteine synthase (EC 2.5.1.47)	IPF_3084	Microcystis aeruginosa PCC 7806	315
B4EEU0	B4EEU0	B4EEU0_BURCJ	unreviewed	Dihydroorotase (DHOase) (EC 3.5.2.3)	pyrC BCAL3351	Burkholderia cenocepacia (strain ATCC BAA-245 / DSM 16553 / LMG 16656 / NCTC 13227 / J2315 / CF5610) (Burkholderia cepacia (strain J2315))	364
P84646	P84646	SCX1_ODODO	reviewed	Alpha-toxin OD1		Odontobuthus doriae (Yellow Iranian scorpion)	65
P9WNI7	P9WNI7	ES6L6_MYCTU	reviewed	Putative ESAT-6-like protein 6	Rv2346c MTCY98.15c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	94
D2Z0P5	D2Z0P5	D2Z0P5_THETI	unreviewed	Photosynthetic reaction center cytochrome c subunit	pufC	Thermochromatium tepidum (Chromatium tepidum)	404
O66442	O66442	ARGD_AQUAE	reviewed	Acetylornithine aminotransferase (ACOAT) (EC 2.6.1.11)	argD aq_023	Aquifex aeolicus (strain VF5)	376
D3U1A7	D3U1A7	D3U1A7_NECAM	unreviewed	Glutathione S-transferase-3	gst-3	Necator americanus (Human hookworm)	206
P05825	P05825	FEPA_ECOLI	reviewed	Ferrienterobactin receptor (Enterobactin outer-membrane receptor)	fepA fep feuB b0584 JW5086	Escherichia coli (strain K12)	746
Q931R6	Q931R6	EBHA_STAAM	reviewed	Extracellular matrix-binding protein EbhA (ECM-binding protein homolog A)	ebhA SAV1434	Staphylococcus aureus (strain Mu50 / ATCC 700699)	6713
A3PQL6	A3PQL6	A3PQL6_RHOS1	unreviewed	TRAP dicarboxylate transporter, DctP subunit	Rsph17029_3541	Rhodobacter sphaeroides (strain ATCC 17029 / ATH 2.4.9)	329
O26336	O26336	O26336_METTH	unreviewed	Gamma-carboxymuconolactone decarboxylase	MTH_234	Methanothermobacter thermautotrophicus (strain ATCC 29096 / DSM 1053 / JCM 10044 / NBRC 100330 / Delta H) (Methanobacterium thermoautotrophicum)	125
Q9F3S9	Q9F3S9	Q9F3S9_RHOMR	unreviewed	Cytochrome c oxidase subunit 2 (EC 1.9.3.1)	rcoxA	Rhodothermus marinus (Rhodothermus obamensis)	316
P42304	P42304	YXIM_BACSU	reviewed	Uncharacterized esterase YxiM (EC 3.1.-.-)	yxiM BSU39120 SS8D	Bacillus subtilis (strain 168)	382
A7V4Y5	A7V4Y5	A7V4Y5_BACUC	unreviewed	Uncharacterized protein	BACUNI_02643	Bacteroides uniformis (strain ATCC 8492 / DSM 6597 / CIP 103695 / JCM 5828 / NCTC 13054 / VPI 0061)	529
P30893	P30893	HBB_COTJA	reviewed	Hemoglobin subunit beta (Beta-globin) (Hemoglobin beta chain)	HBB	Coturnix coturnix japonica (Japanese quail) (Coturnix japonica)	146
A3CYS0	A3CYS0	A3CYS0_SHEB5	unreviewed	Uncharacterized protein	Sbal_0098	Shewanella baltica (strain OS155 / ATCC BAA-1091)	101
P9WFZ1	P9WFZ1	TRMI_MYCTU	reviewed	tRNA (adenine(58)-N(1))-methyltransferase TrmI (EC 2.1.1.220) (tRNA(m1A58)-methyltransferase) (tRNA(m1A58)MTase)	trmI Rv2118c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	280
P45131	P45131	METX_HAEIN	reviewed	Homoserine O-acetyltransferase (EC 2.3.1.31) (Homoserine O-trans-acetylase) (HTA) (Homoserine transacetylase)	metX met2 HI_1263	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	358
Q8RP04	Q8RP04	HPAB3_PSEYM	reviewed	Effector protein hopAB3 (Avirulence protein hopPmaL)	hopAB3 hopPmaL	Pseudomonas syringae pv. maculicola	385
Q67AJ6	Q67AJ6	Q67AJ6_HUMAN	unreviewed	MHC class II antigen (Fragment)	HLA-DQB1	Homo sapiens (Human)	234
A9CFG3	A9CFG3	A9CFG3_AGRFC	unreviewed	Uncharacterized protein	Atu3615	Agrobacterium fabrum (strain C58 / ATCC 33970) (Agrobacterium tumefaciens (strain C58))	142
P48286	P48286	RL22_THETH	reviewed	50S ribosomal protein L22	rplV rpl22	Thermus thermophilus	113
P84137	P84137	P84137_GEOSE	unreviewed	Rbstp2229 protein		Geobacillus stearothermophilus (Bacillus stearothermophilus)	126
Q6Q0K9	Q6Q0K9	Q6Q0K9_9VIRU	unreviewed	Uncharacterized protein	B116	Sulfolobus turreted icosahedral virus 1	116
Q2L4H3	Q2L4H3	BTRK_BACCI	reviewed	L-glutamyl-[BtrI acyl-carrier protein] decarboxylase (EC 4.1.1.95) (Butirosin biosynthesis protein K)	btrK	Bacillus circulans	428
Q99P87	Q99P87	RETN_MOUSE	reviewed	Resistin (Adipose tissue-specific secretory factor) (ADSF) (Adipose-specific cysteine-rich secreted protein A12-alpha) (Cysteine-rich secreted protein FIZZ3)	Retn Fizz3	Mus musculus (Mouse)	114
D1MPT0	D1MPT0	D1MPT0_EQUAS	unreviewed	Hemoglobin beta chain		Equus asinus (Donkey) (Equus africanus asinus)	146
Q4KH25	Q4KH25	Q4KH25_PSEF5	unreviewed	Outer membrane porin, OprD family	PFL_1329	Pseudomonas fluorescens (strain Pf-5 / ATCC BAA-477)	420
V5IRU3	V5IRU3	V5IRU3_9INFA	unreviewed	Hemagglutinin HA2	HA	Influenza A virus	169
Q5LBV2	Q5LBV2	Q5LBV2_BACFN	unreviewed	Putative LacI-family transcriptional regulator	BF9343_2635	Bacteroides fragilis (strain ATCC 25285 / DSM 2151 / JCM 11019 / NCTC 9343)	354
O74499	O74499	LSM7_SCHPO	reviewed	U6 snRNA-associated Sm-like protein LSm7	lsm7 SPCC285.12	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	113
P77213	P77213	GCS2_ECOLI	reviewed	Putative glutamate--cysteine ligase 2 (EC 6.3.2.2) (Gamma-glutamylcysteine synthetase 2) (GCS 2) (Gamma-GCS 2)	ybdK b0581 JW0570	Escherichia coli (strain K12)	372
P66032	P66032	RIBB_SALTY	reviewed	3,4-dihydroxy-2-butanone 4-phosphate synthase (DHBP synthase) (EC 4.1.99.12)	ribB STM3195	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	217
Q91LD0	Q91LD0	Q91LD0_WSSV	unreviewed	ORF115 (WSSV285)		White spot syndrome virus (WSSV) (White spot bacilliform virus)	82
C7NDE2	C7NDE2	C7NDE2_LEPBD	unreviewed	Uncharacterized protein	Lebu_0176	Leptotrichia buccalis (strain ATCC 14201 / DSM 1135 / JCM 12969 / NCTC 10249 / C-1013-b)	183
Q58083	Q58083	H669_METJA	reviewed	Probable ATP-dependent RNA helicase MJ0669 (EC 3.6.4.13)	MJ0669	Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii)	367
Q72HN8	Q72HN8	Q72HN8_THET2	unreviewed	Ribosomal-protein-alanine acetyltransferase (EC 2.3.1.128)	TT_C1448	Thermus thermophilus (strain HB27 / ATCC BAA-163 / DSM 7039)	194
P96762	P96762	P96762_ENTGA	unreviewed	Gentamicin resistance protein		Enterococcus gallinarum	306
Q99WU4	Q99WU4	ESXA_STAAM	reviewed	Virulence factor EsxA	esxA SAV0282	Staphylococcus aureus (strain Mu50 / ATCC 700699)	97
P0ADI7	P0ADI7	YECD_ECOLI	reviewed	Isochorismatase family protein YecD (EC 3.-.-.-)	yecD b1867 JW5307	Escherichia coli (strain K12)	188
P27505	P27505	PQQC_KLEPN	reviewed	Pyrroloquinoline-quinone synthase (EC 1.3.3.11) (Coenzyme PQQ synthesis protein C) (Pyrroloquinoline quinone biosynthesis protein C)	pqqC	Klebsiella pneumoniae	251
Q8DDT1	Q8DDT1	Q8DDT1_VIBVU		Deleted.			
Q63I75	Q63I75	Q63I75_BURPS	unreviewed	Putative pilus assembly-related protein	BPSS2195	Burkholderia pseudomallei (strain K96243)	402
P38684	P38684	TORR_ECOLI	reviewed	TorCAD operon transcriptional regulatory protein TorR	torR b0995 JW0980	Escherichia coli (strain K12)	230
P13848	P13848	SCAF_BPPH2	reviewed	Capsid assembly scaffolding protein (Gene product 7) (gp7) (Head morphogenesis protein) (Protein p7) (Scaffold protein)	7	Bacillus phage phi29 (Bacteriophage phi-29)	98
Q9P903	Q9P903	DPYS_LACK1	reviewed	Dihydropyrimidinase (DHP) (DHPase) (EC 3.5.2.2) (5,6-dihydropyrimidine amidohydrolase) (Hydantoinase)	PYD2	Lachancea kluyveri (strain ATCC 58438 / CBS 3082 / CCRC 21498 / NBRC 1685 / JCM 7257 / NCYC 543 / NRRL Y-12651) (Yeast) (Saccharomyces kluyveri)	542
P69732	P69732	GAG_EIAVY	reviewed	Gag polyprotein [Cleaved into: Matrix protein p15 (MA); Capsid protein p26 (CA); p1; Nucleocapsid protein p11 (NC); p9]	gag	Equine infectious anemia virus (strain Wyoming) (EIAV)	486
Q9LFU9	Q9LFU9	GNA1_ARATH	reviewed	Glucosamine 6-phosphate N-acetyltransferase (EC 2.3.1.4) (Glucose-6-phosphate acetyltransferase 1) (AtGNA1) (Phosphoglucosamine acetylase) (Phosphoglucosamine transacetylase) (Protein LIGNESCENS)	GNA1 At5g15770 F14F8.150	Arabidopsis thaliana (Mouse-ear cress)	149
Q9Z270	Q9Z270	VAPA_RAT	reviewed	Vesicle-associated membrane protein-associated protein A (VAMP-A) (VAMP-associated protein A) (VAP-A) (33 kDa VAMP-associated protein) (VAP-33)	Vapa Vap33	Rattus norvegicus (Rat)	249
A0QWN3	A0QWN3	SYDND_MYCS2	reviewed	Aspartate--tRNA(Asp/Asn) ligase (EC 6.1.1.23) (Aspartyl-tRNA synthetase) (AspRS) (Non-discriminating aspartyl-tRNA synthetase) (ND-AspRS)	aspS MSMEG_3003 MSMEI_2928	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	598
Q8AYM1	Q8AYM1	Q8AYM1_THUTH	unreviewed	Hemoglobin beta chain		Thunnus thynnus (Atlantic bluefin tuna) (Scomber thynnus)	147
P0AEU7	P0AEU7	SKP_ECOLI	reviewed	Chaperone protein Skp (DNA-binding 17 kDa protein) (Histone-like protein HLP-1) (Seventeen kilodalton protein)	skp hlpA ompH b0178 JW0173	Escherichia coli (strain K12)	161
Q6N5G2	Q6N5G2	Q6N5G2_RHOPA	unreviewed	Bacteriophytochrome (Light-regulated signal transduction histidine kinase), PhyB2	phyB2 RPA3016	Rhodopseudomonas palustris (strain ATCC BAA-98 / CGA009)	775
F0V1E2	F0V1E2	F0V1E2_ZOBGA	unreviewed	Conserved hypothetical periplasmic protein (Glycoside hydrolase) (EC 3.2.1.-)	zobellia_3615	Zobellia galactanivorans (strain DSM 12802 / CIP 106680 / NCIMB 13871 / Dsij)	414
Q3YTH2	Q3YTH2	OSPG_SHISS	reviewed	Protein kinase OspG (EC 2.7.-.-) (Effector protein OspG)	ospG SSON_P170	Shigella sonnei (strain Ss046)	196
P02877	P02877	HEVE_HEVBR	reviewed	Pro-hevein (Major hevein) [Cleaved into: Hevein (allergen Hev b 6); Win-like protein]	HEV1	Hevea brasiliensis (Para rubber tree) (Siphonia brasiliensis)	204
Q9CS84	Q9CS84	NRX1A_MOUSE	reviewed	Neurexin-1 (Neurexin I-alpha) (Neurexin-1-alpha)	Nrxn1 Kiaa0578	Mus musculus (Mouse)	1514
Q8A0C7	Q8A0C7	Q8A0C7_BACTN	unreviewed	Glycosidase	BT_4094	Bacteroides thetaiotaomicron (strain ATCC 29148 / DSM 2079 / NCTC 10582 / E50 / VPI-5482)	377
Q86PR3	Q86PR3	Q86PR3_AEDAE	unreviewed	Sterol carrier protein 2 (Sterol carrier protein-2)	SCP-2	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	110
Q8G4D5	Q8G4D5	Q8G4D5_BIFLO	unreviewed	Possible prolidase (X-Pro dipeptidase) or chlorohydrolase	BL1453	Bifidobacterium longum (strain NCC 2705)	448
P0A9Q9	P0A9Q9	DHAS_ECOLI	reviewed	Aspartate-semialdehyde dehydrogenase (ASA dehydrogenase) (ASADH) (EC 1.2.1.11) (Aspartate-beta-semialdehyde dehydrogenase)	asd hom b3433 JW3396	Escherichia coli (strain K12)	367
P74901	P74901	VATE_THET8	reviewed	V-type ATP synthase subunit E (V-ATPase subunit E)	atpE vatE TTHA1276	Thermus thermophilus (strain HB8 / ATCC 27634 / DSM 579)	188
J9PBT7	J9PBT7	J9PBT7_STREE	unreviewed	ABC transporter substrate-binding protein-branched chain amino acid transport		Streptococcus pneumoniae str. Canada MDR_19A	353
Q734F7	Q734F7	Q734F7_BACC1	unreviewed	Uncharacterized protein	BCE_3448	Bacillus cereus (strain ATCC 10987 / NRS 248)	113
Q7W7Q2	Q7W7Q2	EX7S_BORPA	reviewed	Exodeoxyribonuclease 7 small subunit (EC 3.1.11.6) (Exodeoxyribonuclease VII small subunit) (Exonuclease VII small subunit)	xseB BPP2462	Bordetella parapertussis (strain 12822 / ATCC BAA-587 / NCTC 13253)	88
Q30WH0	Q30WH0	Q30WH0_DESAG	unreviewed	Cytochrome c class III	Dde_3182	Desulfovibrio alaskensis (strain G20) (Desulfovibrio desulfuricans (strain G20))	130
Q81ST4	Q81ST4	Q81ST4_BACAN	unreviewed	Cytochrome B561 (Uncharacterized protein)	GBAA_1561 ADK18_07685	Bacillus anthracis	129
Q8DW05	Q8DW05	Q8DW05_STRMU	unreviewed	Putative ABC transporter, ATP-binding protein ComA	SMU_286	Streptococcus mutans serotype c (strain ATCC 700610 / UA159)	760
Q7W980	Q7W980	ECTA_BORPA	reviewed	L-2,4-diaminobutyric acid acetyltransferase (DABA acetyltransferase) (EC 2.3.1.178)	ectA BPP1888	Bordetella parapertussis (strain 12822 / ATCC BAA-587 / NCTC 13253)	186
A6ZUJ9	A6ZUJ9	A6ZUJ9_YEAS7	unreviewed	Budding uninhibited by benzimidazole-related protein	BUB1 SCY_2082	Saccharomyces cerevisiae (strain YJM789) (Baker's yeast)	1021
P55325	P55325	PEPA_ASPNG	reviewed	Aspartic protease pep1 (EC 3.4.23.18) (Aspergillopepsin A) (Aspergillopepsin I) (Proctase B)	pep1 pepA prtB	Aspergillus niger	394
Q2SZ09	Q2SZ09	Q2SZ09_BURTA	unreviewed	ATP:cob(I)alamin adenosyltransferase, putative (Cob(I)alamin adenosyltransferase, putative)	BTH_I1293 DR63_1050	Burkholderia thailandensis (strain ATCC 700388 / DSM 13276 / CIP 106301 / E264)	183
Q8EGL1	Q8EGL1	Q8EGL1_SHEON	unreviewed	Uncharacterized protein	SO_1590	Shewanella oneidensis (strain MR-1)	140
Q8IBS5	Q8IBS5	CDPK4_PLAF7	reviewed	Calcium-dependent protein kinase 4 (EC 2.7.11.1)	CPK4 CDPK4 PF07_0072	Plasmodium falciparum (isolate 3D7)	528
Q5SH14	Q5SH14	Q5SH14_THET8	unreviewed	Acyl-CoA dehydrogenase	TTHA1916	Thermus thermophilus (strain HB8 / ATCC 27634 / DSM 579)	372
U5T8W5	U5T8W5	U5T8W5_9CRYP	unreviewed	Phycocyanin645 alpha subunit		Chroomonas sp. CCMP270	122
Q9LLQ3	Q9LLQ3	Q9LLQ3_LUPLU	unreviewed	PR10.2A (Pathogenesis-related protein PR-10.2A)	pr10.2a Ypr-10.2a	Lupinus luteus (European yellow lupin)	158
P83849	P83849	P83849_THETH	unreviewed	1-pyrroline-5-carboxylate dehydrogenase		Thermus thermophilus	516
B7V5W2	B7V5W2	B7V5W2_PSEA8		Deleted.			
Q183G9	Q183G9	Q183G9_PEPD6	unreviewed	Putative pyridoxal phosphate-dependent transferase	CD630_27330	Peptoclostridium difficile (strain 630) (Clostridium difficile)	388
B8FRW3	B8FRW3	B8FRW3_DESHD	unreviewed	Oxidoreductase domain protein	Dhaf_2064	Desulfitobacterium hafniense (strain DCB-2 / DSM 10664)	353
Q59646	Q59646	NORC_PSEAE	reviewed	Nitric oxide reductase subunit C (NOR small subunit) (Nitric oxide reductase cytochrome c subunit)	norC PA0523	Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228)	146
P32755	P32755	HPPD_RAT	reviewed	4-hydroxyphenylpyruvate dioxygenase (EC 1.13.11.27) (4-hydroxyphenylpyruvic acid oxidase) (4HPPD) (HPD) (HPPDase) (F Alloantigen) (F protein)	Hpd	Rattus norvegicus (Rat)	393
